donor_id,donor_name,donor_age,donor_color,sample_well,sample_polygon,sample_mri_0,sample_mri_1,sample_mri_2,structure_id,structure_name,structure_abbreviation,structure_color,top_level_structure_id,top_level_structure_name,top_level_structure_abbreviation,top_level_structure_color,psen2,snca,tnf,trem2,clu,psen1,mapt,apoe,app
309335438,H14.09.001,,0,320630832,310790374,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,-0.9174,0.8302,0,0.7319,1.3604,-0.3028,1.4137,0.9988,0.3233
309335439,H14.09.002,,0,320630842,310790372,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,0.5927,0.6806,0.438,1.6822,1.9663,-0.1811,0.4638,1.8402,0.4894
309335440,H14.09.003,,0,320630856,310790368,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,0.5056,-0.2747,5.8815,1.7255,-0.6011,0.0734,0.7141,1.1267,1.0742
309335441,H14.09.004,,0,320630858,310892446,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,0.1014,-0.9185,-0.3009,-0.1129,0.1064,-0.1161,0.0852,0.5773,-1.0064
309335442,H14.09.005,,0,320630973,310790082,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,-0.554,-0.0722,0,0.5748,0.6173,0.2904,1.1687,0.5882,0.0687
309335443,H14.09.006,,0,320630985,310790077,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,0.2788,-0.9623,0,0.8849,2.0744,-0.0861,-0.0355,1.0589,-0.9636
309335444,H14.09.007,,0,320630949,310891734,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,0.4455,-1.1598,0,1.2316,1.3266,0.4032,0.2436,1.3593,-1.4368
309335445,H14.09.008,,0,320630971,311021819,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,-0.1307,-0.5647,-0.0111,-0.1417,0.3893,0.2205,0.3195,0.8011,-0.0842
309335446,H14.09.009,,0,321912245,313082798,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,0.0187,-0.4559,0.6929,1.0466,2.3454,-0.2713,1.1281,1.7244,-1.0425
309335447,H14.09.010,,0,321912253,313082790,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,-0.5499,-0.9096,0,1.1802,0.3636,0.6675,0.6285,1.0168,-0.2157
309335449,H14.09.012,,0,321912263,313113936,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,-0.1022,-0.4625,0.8122,1.133,1.9424,0.1003,0.1214,1.5203,-0.0778
309335451,H14.09.014,,0,321912275,313077047,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,0.0544,-1.2359,0.7691,1.3758,0.9283,0.4808,0.2459,1.0871,-1.2207
309335452,H14.09.015,,0,321912283,313082614,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,-0.1079,0.1023,0,0.6039,0.4605,-0.1121,0.7199,0.7278,1.0492
309335454,H14.09.017,,0,321912204,313795981,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,1.0166,0.804,1.2055,0.7352,0.4184,-0.3667,0.9961,1.0723,-0.0437
309335455,H14.09.018,,0,321912212,313793341,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,-0.0091,0.1153,0,0.1841,-0.1008,-0.3557,0.0236,0.0401,0.2643
309335456,H14.09.019,,0,395319175,320229541,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,0.3335,-0.1292,0.7022,1.4864,-1.1073,-1.0573,1.0332,0.5378,-0.5303
309335457,H14.09.020,,0,395319183,320806633,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,-0.094,-0.0553,-0.1528,0.5059,1.3396,0.0821,0.6904,1.0918,0.4267
309335460,H14.09.023,,0,395319203,320230468,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,0.0398,-0.2687,0,0.4353,0.7504,0.0049,0.5115,0.8054,-1.3153
309335461,H14.09.024,,0,395319211,320231205,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,0.3279,-0.0016,0,1.6387,1.4703,-0.225,1.533,1.3951,-1.1268
309335462,H14.09.025,,0,395319219,320812259,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,-0.4364,-1.3157,-0.2826,0.8058,1.4871,0.3782,0.3229,1.0805,-2.0097
309335463,H14.09.026,,0,395325144,320231523,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,0.6404,0.2544,0,1.009,0.9611,0.0535,1.1126,1.6105,0.1185
309335464,H14.09.027,,0,395325152,320809323,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,0.4892,0.1714,0.8286,0.5734,1.0166,0.3014,0.8796,1.332,1.8528
309335465,H14.09.028,,0,395325154,320965899,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,-0.4952,-1.5831,0,0.5838,0.0065,0.7472,-0.2019,0.0474,-0.2948
309335466,H14.09.029,,0,395325162,320812618,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,-0.2301,0.0519,2.5541,1.452,1.5464,-0.1699,-0.8084,0.8967,1.2253
309335467,H14.09.030,,0,395325166,320817993,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,-0.0414,0.0674,2.4231,0.2364,1.7091,0.0169,0.2723,1.5561,-0.616
309335468,H14.09.031,,0,441278398,330074194,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,0.3631,-0.4301,0,0.808,2.2198,0.0798,0.7159,1.1933,-1.1121
309335469,H14.09.032,,0,441278406,330085153,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,0.5464,-0.8024,0,1.1944,0.8264,0.3141,-0.6997,-0.1519,-0.7281
309335470,H14.09.033,,0,441278414,330097760,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,0.0751,-0.3071,0,1.7313,1.5747,0.2059,-0.021,1.915,-0.648
309335471,H14.09.034,,0,441278422,330112539,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,-0.7749,-0.0584,2.3634,0.6362,-0.2851,0.5286,0.0866,0.2869,0.1889
309335474,H14.09.037,,0,441278430,330124914,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,-0.2723,-0.0395,0,1.1375,1.4325,-0.1395,1.0368,1.5333,0.6934
309335475,H14.09.038,,0,441278438,330171762,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,0.4551,0.1165,0.3854,0.2517,-0.2666,-0.6492,1.707,1.0027,0.5412
309335478,H14.09.041,,0,472517765,471086126,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,-0.3445,-1.2751,0,0.7186,1.8607,-0.0677,-0.112,1.0086,-0.8834
309335479,H14.09.042,,0,472517767,470087464,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,-0.2125,0.0116,1.6235,0.8756,-1.0783,-0.4504,0.9424,0.5552,0.1006
309335481,H14.09.044,,0,441298699,382980567,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,-0.0577,-0.1835,0.8887,0.3269,0.8419,-0.1638,0.8538,1.1872,-0.1782
309335482,H14.09.045,,0,472517773,470088515,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,-1.2237,-1.1168,2.7759,0.9716,0.3214,-0.1535,-0.0924,0.9417,-1.7866
309335483,H14.09.046,,0,472517781,470088721,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,0.137,-0.6184,0,-0.9953,-0.1978,-0.5,1.82,1.5457,-1.113
309335484,H14.09.047,,0,472517789,470090398,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,0.054,0.0721,0.0702,1.5043,0.8416,0.7077,0.397,0.7013,0.9736
309335485,H14.09.048,,0,472517797,470094579,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,0.7867,0.3399,0.8027,2.0638,2.4492,0.4257,-2.5717,1.4705,-0.6395
309335486,H14.09.049,,0,472517805,470095174,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,0.0589,-0.9294,0,1.3612,1.8877,0.345,1.0058,1.4542,-0.6202
309335487,H14.09.050,,0,472517875,470527539,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,-0.4111,0.1638,-0.1119,0.8463,0.6874,-0.1898,0.9816,1.1632,-0.0369
309335488,H14.09.051,,0,472517883,470530010,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,0.1766,0.4082,0,0.2069,1.4909,-0.3568,1.3829,1.2178,0.9859
309335489,H14.09.052,,0,472517891,470531240,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,1.2106,0.1109,0,0.3475,0.5296,0.4206,1.008,0.4173,0.986
309335490,H14.09.053,,0,475848350,471915920,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,0.2154,-0.6257,0.2117,1.07,-0.2013,0.0707,0.7869,1.0021,-0.2186
309335491,H14.09.054,,0,475848358,471917212,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,-0.2605,-0.1448,0,0.4722,0.2481,0.1469,1.1843,0.6108,-0.4029
309335492,H14.09.055,,0,475848366,471926160,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,-0.6512,-0.6972,0.7043,1.0499,2.006,-0.2126,0.8538,0.0238,-0.9507
309335493,H14.09.056,,0,475848374,471933800,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,0.4054,-1.0242,0.2353,0.6097,0.019,-0.4123,0.4154,0.7319,-0.7273
309335494,H14.09.057,,0,475848382,471943331,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,0.0846,-0.7622,0.2449,-0.0242,1.2173,-0.1415,0.159,1.0981,-1.3137
309335495,H14.09.058,,0,475848390,471951776,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,0.2266,1.559,0,0.7547,1.0816,0.0407,1.8168,1.0006,2.467
309335496,H14.09.059,,0,475848526,474617501,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,0.4449,-0.1327,0,1.0498,-0.433,-0.0443,0.6274,0.9308,-0.1558
309335497,H14.09.060,,0,475848534,475235841,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,-0.5744,-0.3749,0.8942,1.6216,1.2244,0.3237,-0.8735,1.5969,-0.218
326765648,H14.09.061,,0,475848542,474619020,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,0.157,-0.8971,1.6209,1.7295,2.7584,0.6903,-0.0087,2.1388,-0.0231
326765649,H14.09.062,,0,475848550,475034384,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,0.4705,-0.0259,0,0.264,0.9471,-0.1454,0.3445,1.0524,-0.5846
326765650,H14.09.063,,0,477135129,475585383,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,-0.9875,-1.4751,0.331,1.3975,0.7213,-0.6579,1.1072,1.4952,-1.3589
326765651,H14.09.064,,0,477135137,475585459,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,0.5699,-0.1588,1.4026,1.0842,0.9741,0.5322,0.8783,2.4504,0.5699
326765652,H14.09.065,,0,477135145,475236265,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,0.329,-0.4859,0,-0.8323,0.5763,0.5076,0.543,1.0714,-0.123
326765653,H14.09.066,,0,477135147,475236537,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,-0.0642,0.87,0,-1.2494,2.4374,-0.6551,1.5608,0.3185,1.5806
326765654,H14.09.067,,0,477135155,475585506,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,-0.1104,-0.0146,0,0.8348,0.2609,0.0418,0.1301,0.9879,0.3544
326765655,H14.09.068,,0,477135163,475585523,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,0.3695,0.0123,1.1894,1.6973,1.7233,-0.1226,-0.1282,1.3579,-0.6402
326765656,H14.09.069,,0,477135172,475846137,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,0.3064,0.0414,-0.3735,1.5123,0.3742,0.1449,0.7327,0.3448,0.2792
326765657,H14.09.070,,0,477135252,475846167,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,-0.3257,-0.8616,2.3336,1.721,0.0426,-0.0325,0.1092,0.6123,-1.1577
326765658,H14.09.071,,0,477135261,475846416,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,0.1723,-0.3807,-0.2397,0.3585,0.3166,0.1703,0.7226,0.4327,-0.3486
326765659,H14.09.072,,0,477135269,475738079,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,0.2277,-0.3609,0.483,0.7915,1.7879,0.277,-0.2302,0.8753,-1.1498
326765661,H14.09.074,,0,480148745,477050150,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,-0.1114,-0.0057,0,0.193,-0.3234,0.1011,1.1242,0.4397,0.1913
326765662,H14.09.075,,0,480148753,477284565,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,0.5319,-1.0149,0.1698,1.1842,2.4388,0.2665,0.1743,2.6107,-0.0774
326765663,H14.09.076,,0,480148761,476799204,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,0.1674,0.0986,0.1514,0.9682,1.8522,0.0043,0.0877,1.8182,0.2447
326765665,H14.09.078,,0,480148773,476799703,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,-0.3454,-0.5259,0.9956,0.4286,0.2079,-0.4094,1.6777,-0.3233,1.2243
326765667,H14.09.080,,0,480149033,477051570,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,0.0235,-0.0649,0,0.4119,0.1495,-0.565,1.6128,0.3622,-0.2801
326765668,H14.09.081,,0,480149041,477052332,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,0.0297,0.2936,0.2805,1.0342,0.1795,0.3657,-0.6157,0.2924,-0.6407
326765669,H14.09.082,,0,480149049,477284558,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,0.1352,-0.5885,0.4235,1.8078,1.6523,0.4166,-0.5054,1.0751,-2.0909
326765670,H14.09.083,,0,480149617,478890899,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,-1.4268,0.1808,0.09,0.7639,0.157,0.4638,1.5556,0.3132,-0.043
326765671,H14.09.084,,0,480149625,478891109,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,1.1966,-0.1611,-0.5829,0.9299,1.271,0.2973,0.3068,2.2964,0.7381
326765672,H14.09.085,,0,480149627,478891174,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,0.0407,-1.3573,0.5537,0.6175,-1.4468,-0.1,0.5959,0.1232,-0.4802
326765673,H14.09.086,,0,480149631,478891359,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,-0.8952,-1.8854,-0.5834,0.9818,2.1779,0.5722,-0.3112,1.2697,-2.4989
326765674,H14.09.087,,0,480149639,478891117,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,-0.6722,-1.8128,1.0189,1.3191,2.5223,0.4317,-1.0534,2.9094,-2.8893
326765675,H14.09.088,,0,480149647,478891147,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,0.2089,1.7334,0.843,0.7289,0.0788,-0.3474,0.9545,-1.4574,0.9024
326765676,H14.09.089,,0,480149579,478923583,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,0.5758,0.0528,-0.5962,1.1797,0.3346,0.0756,0.3797,-0.2034,-0.56
326765677,H14.09.090,,0,480149587,478924676,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,-0.7146,0.9432,1.2883,0.8713,-0.0987,-0.2929,0.0871,1.3482,2.0028
326765678,H14.09.091,,0,480149593,479003796,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,0.1479,-1.2032,-0.1003,1.1453,1.4046,-0.0138,1.4577,1.3444,0.5021
326765679,H14.09.092,,0,480149601,478924994,-1,-1,-1,10294,hippocampus (hippocampal formation),HIP,BFB5D5,10153,neural plate,NP,D7D8D8,1.3649,-0.7381,0.8121,0.6059,2.0313,-0.9455,1.243,-0.0097,-0.3492
